text,labels,multi_hot
Let’s silence the lies with our unity.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
An educational fair will be held downtown this weekend.!,"[""emotional_framing""]","[1, 0, 0, 0]"
A rare astronomical event will be visible tonight. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan. - breaking news,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
"Sales increased by 5% compared to last quarter., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
A rare astronomical event will be visible tonight.,[],"[0, 0, 0, 0]"
They’ll destroy everything unless we stop them.,"[""emotional_framing""]","[1, 0, 0, 0]"
The media is run by traitors hiding the truth. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
History will remember this moment as our victory. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The media is run by traitors hiding the truth. (full story),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
A local bakery was awarded for its traditional recipes. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
The art exhibit opened to positive reviews from critics. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Join the resistance and reclaim our future. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The art exhibit opened to positive reviews from critics.,[],"[0, 0, 0, 0]"
Don't be fooled by foreign propaganda machines. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
They want to control your thoughts with lies. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The book has topped bestseller charts for the third week. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Volunteers helped clean up the beach on Saturday.!,"[""emotional_framing""]","[1, 0, 0, 0]"
A new species of fish has been discovered in the Pacific.,[],"[0, 0, 0, 0]"
A rare astronomical event will be visible tonight.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Those who speak against us are enemies of progress. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"Their lies have gone unchallenged for too long., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"A local bakery was awarded for its traditional recipes., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
A rare astronomical event will be visible tonight.,[],"[0, 0, 0, 0]"
A local bakery was awarded for its traditional recipes.!,"[""emotional_framing""]","[1, 0, 0, 0]"
True strength lies in unity under one vision. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Public schools will start offering free meals next term. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"This is our last chance to defend our values., say sources","[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
"If we don’t act now, our children will suffer.","[""emotional_framing""]","[1, 0, 0, 0]"
Only a true patriot would support this plan.,"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
Traffic was delayed due to maintenance on the highway. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
A rare astronomical event will be visible tonight. (full story),[],"[0, 0, 0, 0]"
Those who speak against us are enemies of progress. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Temperatures are expected to drop over the weekend. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
No real citizen would oppose this measure. - experts claim,"[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
Everyone knows the real agenda behind this move.,"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
A new species of fish has been discovered in the Pacific. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The wildlife reserve reported an increase in bird species. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Their lies have gone unchallenged for too long. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
True strength lies in unity under one vision. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"If we don’t act now, our children will suffer. - witness report","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Public schools will start offering free meals next term. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Temperatures are expected to drop over the weekend. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Everyone knows the real agenda behind this move.!,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
A software update is now available for all users. (full story),"[""emotional_framing""]","[1, 0, 0, 0]"
An educational fair will be held downtown this weekend. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
A local bakery was awarded for its traditional recipes. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Their lies have gone unchallenged for too long. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Their lies have gone unchallenged for too long.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"The library introduced a new digital lending system., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
They’ll destroy everything unless we stop them.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Look how they twist facts to confuse the people. (full story),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Only a true patriot would support this plan. - witness report,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
Only a true patriot would support this plan. (full story),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
"If we don’t act now, our children will suffer. - breaking news","[""emotional_framing""]","[1, 0, 0, 0]"
Researchers published findings on the new vaccine trial.,"[""emotional_framing""]","[1, 0, 0, 0]"
The latest smartphone model features improved battery life. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"They want to control your thoughts with lies., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Don't be fooled by foreign propaganda machines. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Researchers published findings on the new vaccine trial.,"[""emotional_framing""]","[1, 0, 0, 0]"
A rare astronomical event will be visible tonight.,[],"[0, 0, 0, 0]"
This is our last chance to defend our values.,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
"If we don’t act now, our children will suffer., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"Volunteers helped clean up the beach on Saturday., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Sales increased by 5% compared to last quarter. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Temperatures are expected to drop over the weekend.,[],"[0, 0, 0, 0]"
They want to control your thoughts with lies. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Everyone knows the real agenda behind this move. (details inside),"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
Our leader has never been wrong. Trust him. (details inside),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
The hiking trail reopened after seasonal closures. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
An educational fair will be held downtown this weekend. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The hiking trail reopened after seasonal closures. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Sales increased by 5% compared to last quarter. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Temperatures are expected to drop over the weekend.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Let’s silence the lies with our unity.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"Temperatures are expected to drop over the weekend., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"City council approved a new zoning regulation., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The media is run by traitors hiding the truth.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Sales increased by 5% compared to last quarter.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Traffic was delayed due to maintenance on the highway. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
"The team won the championship after a close match., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"If we don’t act now, our children will suffer.","[""emotional_framing""]","[1, 0, 0, 0]"
Researchers published findings on the new vaccine trial.,[],"[0, 0, 0, 0]"
Let’s silence the lies with our unity. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"We are the majority, and we must act now.","[""emotional_framing""]","[1, 0, 0, 0]"
"If we don’t act now, our children will suffer., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
A software update is now available for all users. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
History will remember this moment as our victory. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
History will remember this moment as our victory.!,"[""emotional_framing""]","[1, 0, 0, 0]"
"History will remember this moment as our victory., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Their lies have gone unchallenged for too long.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Sales increased by 5% compared to last quarter.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Stand up for your country or watch it fall. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A local bakery was awarded for its traditional recipes. (details inside),[],"[0, 0, 0, 0]"
They want to control your thoughts with lies. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A local bakery was awarded for its traditional recipes. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The media is run by traitors hiding the truth. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"We are the majority, and we must act now. - unconfirmed","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
History will remember this moment as our victory.,"[""emotional_framing""]","[1, 0, 0, 0]"
Volunteers helped clean up the beach on Saturday.,[],"[0, 0, 0, 0]"
Sales increased by 5% compared to last quarter. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Don't be fooled by foreign propaganda machines. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
City council approved a new zoning regulation. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The media is run by traitors hiding the truth.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Their lies have gone unchallenged for too long. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"The wildlife reserve reported an increase in bird species., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"True strength lies in unity under one vision., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"True strength lies in unity under one vision., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"We are the majority, and we must act now. (details inside)","[""emotional_framing""]","[1, 0, 0, 0]"
Public schools will start offering free meals next term.,[],"[0, 0, 0, 0]"
Public schools will start offering free meals next term. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Sales increased by 5% compared to last quarter. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
The team won the championship after a close match. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
The hiking trail reopened after seasonal closures.,[],"[0, 0, 0, 0]"
They want to control your thoughts with lies. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The library introduced a new digital lending system. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"If we don’t act now, our children will suffer.!","[""emotional_framing""]","[1, 0, 0, 0]"
The book has topped bestseller charts for the third week. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The art exhibit opened to positive reviews from critics. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"We are the majority, and we must act now. (full story)","[""emotional_framing""]","[1, 0, 0, 0]"
"If we don’t act now, our children will suffer. - experts claim","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
They want to control your thoughts with lies.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The media is run by traitors hiding the truth. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Everyone knows the real agenda behind this move. (details inside),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
Researchers published findings on the new vaccine trial.,[],"[0, 0, 0, 0]"
Look how they twist facts to confuse the people. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Temperatures are expected to drop over the weekend. (details inside),[],"[0, 0, 0, 0]"
Stand up for your country or watch it fall.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"We are the majority, and we must act now. - breaking news","[""emotional_framing""]","[1, 0, 0, 0]"
Let’s silence the lies with our unity. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Researchers published findings on the new vaccine trial. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
The library introduced a new digital lending system.,[],"[0, 0, 0, 0]"
The latest smartphone model features improved battery life. (details inside),[],"[0, 0, 0, 0]"
The latest smartphone model features improved battery life.,[],"[0, 0, 0, 0]"
"The team won the championship after a close match., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"If we don’t act now, our children will suffer. (details inside)","[""emotional_framing""]","[1, 0, 0, 0]"
The media is run by traitors hiding the truth. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Traffic was delayed due to maintenance on the highway. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan. - unconfirmed,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
Join the resistance and reclaim our future.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"Look how they twist facts to confuse the people., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"Everyone knows the real agenda behind this move., say sources","[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
True strength lies in unity under one vision. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Only a true patriot would support this plan. - unconfirmed,"[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
History will remember this moment as our victory. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
The art exhibit opened to positive reviews from critics. (full story),[],"[0, 0, 0, 0]"
"The art exhibit opened to positive reviews from critics., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"If we don’t act now, our children will suffer.","[""emotional_framing""]","[1, 0, 0, 0]"
They’ll destroy everything unless we stop them.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Sales increased by 5% compared to last quarter.,[],"[0, 0, 0, 0]"
The book has topped bestseller charts for the third week.,[],"[0, 0, 0, 0]"
Don't be fooled by foreign propaganda machines.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Stand up for your country or watch it fall. (full story),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"If we don’t act now, our children will suffer. - report says","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"The wildlife reserve reported an increase in bird species., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The latest smartphone model features improved battery life.,[],"[0, 0, 0, 0]"
"This is our last chance to defend our values., say sources","[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
Everyone knows the real agenda behind this move. - breaking news,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
The team won the championship after a close match. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The art exhibit opened to positive reviews from critics. (full story),"[""emotional_framing""]","[1, 0, 0, 0]"
An educational fair will be held downtown this weekend. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
City council approved a new zoning regulation. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Don't be fooled by foreign propaganda machines.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The team won the championship after a close match.,[],"[0, 0, 0, 0]"
Volunteers helped clean up the beach on Saturday. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
City council approved a new zoning regulation.,"[""emotional_framing""]","[1, 0, 0, 0]"
A rare astronomical event will be visible tonight.,[],"[0, 0, 0, 0]"
This is our last chance to defend our values. (full story),"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
Don't be fooled by foreign propaganda machines. (full story),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
A rare astronomical event will be visible tonight. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Our leader has never been wrong. Trust him. (details inside),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
The media is run by traitors hiding the truth.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The hiking trail reopened after seasonal closures. (full story),"[""emotional_framing""]","[1, 0, 0, 0]"
Volunteers helped clean up the beach on Saturday.,[],"[0, 0, 0, 0]"
City council approved a new zoning regulation. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
Sales increased by 5% compared to last quarter. (full story),[],"[0, 0, 0, 0]"
"The media is run by traitors hiding the truth., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
True strength lies in unity under one vision.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The wildlife reserve reported an increase in bird species. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The wildlife reserve reported an increase in bird species. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
Temperatures are expected to drop over the weekend.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Sales increased by 5% compared to last quarter. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
They want to control your thoughts with lies. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"We are the majority, and we must act now.","[""emotional_framing""]","[1, 0, 0, 0]"
The book has topped bestseller charts for the third week.,[],"[0, 0, 0, 0]"
The wildlife reserve reported an increase in bird species.,[],"[0, 0, 0, 0]"
Sales increased by 5% compared to last quarter.,[],"[0, 0, 0, 0]"
This is our last chance to defend our values.,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
The wildlife reserve reported an increase in bird species. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
This is our last chance to defend our values.,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
