text,labels,multi_hot
Join the resistance and reclaim our future. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The art exhibit opened to positive reviews from critics.,[],"[0, 0, 0, 0]"
Don't be fooled by foreign propaganda machines. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
They want to control your thoughts with lies. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The book has topped bestseller charts for the third week. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Volunteers helped clean up the beach on Saturday.!,"[""emotional_framing""]","[1, 0, 0, 0]"
A new species of fish has been discovered in the Pacific.,[],"[0, 0, 0, 0]"
Those who speak against us are enemies of progress. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"A local bakery was awarded for its traditional recipes., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
True strength lies in unity under one vision. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"This is our last chance to defend our values., say sources","[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
"If we don’t act now, our children will suffer.","[""emotional_framing""]","[1, 0, 0, 0]"
Traffic was delayed due to maintenance on the highway. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Those who speak against us are enemies of progress. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Temperatures are expected to drop over the weekend. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
No real citizen would oppose this measure. - experts claim,"[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
Everyone knows the real agenda behind this move.,"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
A new species of fish has been discovered in the Pacific. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The wildlife reserve reported an increase in bird species. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Their lies have gone unchallenged for too long. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
True strength lies in unity under one vision. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"If we don’t act now, our children will suffer. - witness report","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Temperatures are expected to drop over the weekend. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
A software update is now available for all users.,"[""emotional_framing""]","[1, 0, 0, 0]"
An educational fair will be held downtown this weekend. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Their lies have gone unchallenged for too long.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"The library introduced a new digital lending system., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan. - witness report,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
"If we don’t act now, our children will suffer. - breaking news","[""emotional_framing""]","[1, 0, 0, 0]"
The latest smartphone model features improved battery life. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"They want to control your thoughts with lies., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Don't be fooled by foreign propaganda machines. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"If we don’t act now, our children will suffer., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"Volunteers helped clean up the beach on Saturday., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Sales increased by 5% compared to last quarter. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
They want to control your thoughts with lies. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Everyone knows the real agenda behind this move. (details inside),"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
Our leader has never been wrong. Trust him. (details inside),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
An educational fair will be held downtown this weekend. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The hiking trail reopened after seasonal closures. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
"Temperatures are expected to drop over the weekend., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"City council approved a new zoning regulation., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Sales increased by 5% compared to last quarter.!,"[""emotional_framing""]","[1, 0, 0, 0]"
Traffic was delayed due to maintenance on the highway. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
"The team won the championship after a close match., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Let’s silence the lies with our unity. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"We are the majority, and we must act now.","[""emotional_framing""]","[1, 0, 0, 0]"
A software update is now available for all users. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"History will remember this moment as our victory., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Stand up for your country or watch it fall. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A local bakery was awarded for its traditional recipes. (details inside),[],"[0, 0, 0, 0]"
They want to control your thoughts with lies. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A local bakery was awarded for its traditional recipes. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The media is run by traitors hiding the truth. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"We are the majority, and we must act now. - unconfirmed","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Sales increased by 5% compared to last quarter. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Don't be fooled by foreign propaganda machines. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
City council approved a new zoning regulation. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"The wildlife reserve reported an increase in bird species., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"We are the majority, and we must act now. (details inside)","[""emotional_framing""]","[1, 0, 0, 0]"
Public schools will start offering free meals next term.,[],"[0, 0, 0, 0]"
Public schools will start offering free meals next term. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Sales increased by 5% compared to last quarter. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
The team won the championship after a close match. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
The hiking trail reopened after seasonal closures.,[],"[0, 0, 0, 0]"
They want to control your thoughts with lies. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The library introduced a new digital lending system. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The book has topped bestseller charts for the third week. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The art exhibit opened to positive reviews from critics. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"If we don’t act now, our children will suffer. - experts claim","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
They want to control your thoughts with lies.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The media is run by traitors hiding the truth. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Look how they twist facts to confuse the people. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Temperatures are expected to drop over the weekend. (details inside),[],"[0, 0, 0, 0]"
Stand up for your country or watch it fall.!,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"We are the majority, and we must act now. - breaking news","[""emotional_framing""]","[1, 0, 0, 0]"
Let’s silence the lies with our unity. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Researchers published findings on the new vaccine trial. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
The latest smartphone model features improved battery life. (details inside),[],"[0, 0, 0, 0]"
"If we don’t act now, our children will suffer. (details inside)","[""emotional_framing""]","[1, 0, 0, 0]"
The media is run by traitors hiding the truth. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Only a true patriot would support this plan. - unconfirmed,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
Join the resistance and reclaim our future.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"Look how they twist facts to confuse the people., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
"Everyone knows the real agenda behind this move., say sources","[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
"The art exhibit opened to positive reviews from critics., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Don't be fooled by foreign propaganda machines.,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
"If we don’t act now, our children will suffer. - report says","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Everyone knows the real agenda behind this move. - breaking news,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
The team won the championship after a close match. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Volunteers helped clean up the beach on Saturday. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
City council approved a new zoning regulation. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
"The media is run by traitors hiding the truth., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The wildlife reserve reported an increase in bird species. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
They want to control your thoughts with lies. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The wildlife reserve reported an increase in bird species.,[],"[0, 0, 0, 0]"
The wildlife reserve reported an increase in bird species. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Don't be fooled by foreign propaganda machines. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
This is our last chance to defend our values. (details inside),"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
The book has topped bestseller charts for the third week. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Look how they twist facts to confuse the people. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The library introduced a new digital lending system. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Join the resistance and reclaim our future. (details inside),"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
A local bakery was awarded for its traditional recipes. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Public schools will start offering free meals next term. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
A new species of fish has been discovered in the Pacific. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Stand up for your country or watch it fall. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Those who speak against us are enemies of progress.,"[""emotional_framing""]","[1, 0, 0, 0]"
This is our last chance to defend our values. - witness report,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
"Researchers published findings on the new vaccine trial., say sources","[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
City council approved a new zoning regulation. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The latest smartphone model features improved battery life. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
A software update is now available for all users. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Volunteers helped clean up the beach on Saturday. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
Everyone knows the real agenda behind this move. - report says,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
Their lies have gone unchallenged for too long. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Researchers published findings on the new vaccine trial. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Those who speak against us are enemies of progress. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
True strength lies in unity under one vision. - witness report,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Temperatures are expected to drop over the weekend. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The concert has been postponed to next Friday. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
No real citizen would oppose this measure. - report says,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
The library introduced a new digital lending system. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
They’ll destroy everything unless we stop them. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Volunteers helped clean up the beach on Saturday. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
He is the savior our nation has been waiting for. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Researchers published findings on the new vaccine trial. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The book has topped bestseller charts for the third week. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Our leader has never been wrong. Trust him. - experts claim,"[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
Join the resistance and reclaim our future. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A rare astronomical event will be visible tonight. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Volunteers helped clean up the beach on Saturday. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"Join the resistance and reclaim our future., say sources","[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
This is our last chance to defend our values. - unconfirmed,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
They’ll destroy everything unless we stop them. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
"A software update is now available for all users., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
A software update is now available for all users. (details inside),[],"[0, 0, 0, 0]"
The hiking trail reopened after seasonal closures. (details inside),[],"[0, 0, 0, 0]"
Those who speak against us are enemies of progress. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Those who speak against us are enemies of progress. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
"He is the savior our nation has been waiting for., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
A new species of fish has been discovered in the Pacific. (details inside),[],"[0, 0, 0, 0]"
The art exhibit opened to positive reviews from critics. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The latest smartphone model features improved battery life. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
"The book has topped bestseller charts for the third week., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Only a true patriot would support this plan. - report says,"[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
The team won the championship after a close match. - report says,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
He is the savior our nation has been waiting for. - unconfirmed,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
An educational fair will be held downtown this weekend. (details inside),"[""emotional_framing""]","[1, 0, 0, 0]"
Traffic was delayed due to maintenance on the highway. - report says,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Stand up for your country or watch it fall. - report says,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
Our leader has never been wrong. Trust him.,"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
The concert has been postponed to next Friday. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
An educational fair will be held downtown this weekend. - unconfirmed,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
A software update is now available for all users. - experts claim,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
No real citizen would oppose this measure. (details inside),"[""absolutist_language"", ""propaganda_style_language""]","[0, 1, 0, 1]"
"No real citizen would oppose this measure., say sources","[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 1, 1, 1]"
True strength lies in unity under one vision. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The wildlife reserve reported an increase in bird species. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Stand up for your country or watch it fall. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
The media is run by traitors hiding the truth. - experts claim,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
A software update is now available for all users. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Join the resistance and reclaim our future. - breaking news,"[""emotional_framing"", ""propaganda_style_language""]","[1, 0, 0, 1]"
Look how they twist facts to confuse the people. - unconfirmed,"[""emotional_framing"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[1, 0, 1, 1]"
The art exhibit opened to positive reviews from critics. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
Everyone knows the real agenda behind this move. - unconfirmed,"[""absolutist_language"", ""propaganda_style_language"", ""vague_or_unsupported_claims""]","[0, 1, 1, 1]"
Volunteers helped clean up the beach on Saturday. - breaking news,"[""emotional_framing""]","[1, 0, 0, 0]"
Our leader has never been wrong. Trust him. - breaking news,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
The concert has been postponed to next Friday. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"The concert has been postponed to next Friday., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
"They’ll destroy everything unless we stop them., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
Public schools will start offering free meals next term. - witness report,"[""emotional_framing"", ""vague_or_unsupported_claims""]","[1, 0, 1, 0]"
The latest smartphone model features improved battery life. - experts claim,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
This is our last chance to defend our values. - breaking news,"[""absolutist_language"", ""emotional_framing"", ""propaganda_style_language""]","[1, 1, 0, 1]"
"The latest smartphone model features improved battery life., say sources","[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
The hiking trail reopened after seasonal closures. - witness report,"[""vague_or_unsupported_claims""]","[0, 0, 1, 0]"
